driverId,driverName,image,constructorId,01 Australian GP,02 Malaysian GP,03 Bahrain GP,04 San Marino GP,05 Spanish GP,06 Monaco GP,07 European GP,08 Canadian GP,09 United States GP,10 French GP,11 British GP,12 German GP,13 Hungarian GP,14 Turkish GP,15 Italian GP,16 Belgian GP,17 Brazilian GP,18 Japanese GP,19 Chinese GP
heidfeld,Nick Heidfeld,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F19_6f0cfc23f911fb6c8381.jpg&w=256&q=75,williams,0.0,6.0,6.0,9.0,9.0,17.0,25.0,25.0,25.0,25.0,25.0,25.0,28.0,28.0,,,,,
coulthard,David Coulthard,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F7_c6b51d89a1abf05be86c.jpg&w=256&q=75,red_bull,5.0,8.0,9.0,9.0,10.0,10.0,15.0,17.0,17.0,17.0,17.0,19.0,19.0,21.0,21.0,21.0,21.0,24.0,24.0
massa,Felipe Massa,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F14_1e9df86fd1fd733f218c.jpg&w=256&q=75,sauber,0.0,0.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,11.0
klien,Christian Klien,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F16_fe011f60ee99b5fa6283.jpg&w=256&q=75,red_bull,2.0,3.0,3.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,9.0
villeneuve,Jacques Villeneuve,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F383_7a035665bdbe594cdab0.jpg&w=256&q=75,sauber,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0
monteiro,Tiago Monteiro,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Tiago_monteiro_spafrancorchamps2014.JPG/800px-Tiago_monteiro_spafrancorchamps2014.JPG,jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
wurz,Alexander Wurz,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-d1184785-8da1-4f1c-9285-b933005e275d.jpg,mclaren,,,,6.0,,,,,,,,,,,,,,,
karthikeyan,Narain Karthikeyan,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-7301addf-eec7-4df9-bf33-78eedbd73472.jpg,jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
rosa,Pedro de la Rosa,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-5edec345-2242-4e55-801e-769d5ef69f5d.jpg,mclaren,,,4.0,,,,,,,,,,,,,,,,
albers,Christijan Albers,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-273116f6-38e0-4ae1-aff7-9c89fe0b8279.jpg,minardi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
friesacher,Patrick Friesacher,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-fcc1d047-2d79-419f-9e09-d4f10ed01036.jpg,minardi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,,,,,,,,
pizzonia,Antônio Pizzonia,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-b194ab21-8e36-4b39-b218-50798014a659.jpg,williams,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0
sato,Takuma Sato,https://driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F12_baa0df5d5b1a4a1e854e.jpg&w=256&q=75,bar,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
liuzzi,Vitantonio Liuzzi,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-6e9c9f91-2c12-4a5e-9b48-f0698061597a.jpg,red_bull,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
doornbos,Robert Doornbos,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-d8d5ffdc-e03a-4cfb-94db-80a88d94a07f.jpg,minardi,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
davidson,Anthony Davidson,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-876d1934-11db-421d-be1a-39696eb5b8e6.jpg,bar,,0.0,,,,,,,,,,,,,,,,,
zonta,Ricardo Zonta,https://images.motorsportstats.com/large/driverProfilePicture/driverProfilePicture-92840fae-c893-433a-8b35-a06d59863c6d.jpg,toyota,,,,,,,,,0.0,,,,,,,,,,
