round,raceId,driverId,driverName,raceFinalPosition,racePoints,cumulativePoints
9,Canadian Grand Prix 2006,albers,Christijan Albers,22,0.0,0.0
10,United States Grand Prix 2006,albers,Christijan Albers,11,0.0,0.0
11,French Grand Prix 2006,albers,Christijan Albers,15,0.0,0.0
12,German Grand Prix 2006,albers,Christijan Albers,21,0.0,0.0
13,Hungarian Grand Prix 2006,albers,Christijan Albers,10,0.0,0.0
14,Turkish Grand Prix 2006,albers,Christijan Albers,16,0.0,0.0
15,Italian Grand Prix 2006,albers,Christijan Albers,17,0.0,0.0
16,Chinese Grand Prix 2006,albers,Christijan Albers,15,0.0,0.0
17,Japanese Grand Prix 2006,albers,Christijan Albers,22,0.0,0.0
18,Brazilian Grand Prix 2006,albers,Christijan Albers,14,0.0,0.0
5,European Grand Prix 2006,montagny,Franck Montagny,17,0.0,0.0
6,Spanish Grand Prix 2006,montagny,Franck Montagny,22,0.0,0.0
7,Monaco Grand Prix 2006,montagny,Franck Montagny,16,0.0,0.0
8,British Grand Prix 2006,montagny,Franck Montagny,18,0.0,0.0
9,Canadian Grand Prix 2006,montagny,Franck Montagny,20,0.0,0.0
10,United States Grand Prix 2006,montagny,Franck Montagny,22,0.0,0.0
11,French Grand Prix 2006,montagny,Franck Montagny,16,0.0,0.0
11,French Grand Prix 2006,rosa,Pedro de la Rosa,7,2.0,2.0
12,German Grand Prix 2006,rosa,Pedro de la Rosa,18,0.0,2.0
13,Hungarian Grand Prix 2006,rosa,Pedro de la Rosa,2,8.0,10.0
14,Turkish Grand Prix 2006,rosa,Pedro de la Rosa,5,4.0,14.0
15,Italian Grand Prix 2006,rosa,Pedro de la Rosa,20,0.0,14.0
16,Chinese Grand Prix 2006,rosa,Pedro de la Rosa,5,4.0,18.0
17,Japanese Grand Prix 2006,rosa,Pedro de la Rosa,11,0.0,18.0
18,Brazilian Grand Prix 2006,rosa,Pedro de la Rosa,8,1.0,19.0
12,German Grand Prix 2006,yamamoto,Sakon Yamamoto,19,0.0,0.0
13,Hungarian Grand Prix 2006,yamamoto,Sakon Yamamoto,21,0.0,0.0
14,Turkish Grand Prix 2006,yamamoto,Sakon Yamamoto,19,0.0,0.0
15,Italian Grand Prix 2006,yamamoto,Sakon Yamamoto,21,0.0,0.0
16,Chinese Grand Prix 2006,yamamoto,Sakon Yamamoto,16,0.0,0.0
17,Japanese Grand Prix 2006,yamamoto,Sakon Yamamoto,17,0.0,0.0
18,Brazilian Grand Prix 2006,yamamoto,Sakon Yamamoto,16,0.0,0.0
13,Hungarian Grand Prix 2006,kubica,Robert Kubica,22,0.0,0.0
14,Turkish Grand Prix 2006,kubica,Robert Kubica,12,0.0,0.0
15,Italian Grand Prix 2006,kubica,Robert Kubica,3,6.0,6.0
16,Chinese Grand Prix 2006,kubica,Robert Kubica,13,0.0,6.0
17,Japanese Grand Prix 2006,kubica,Robert Kubica,9,0.0,6.0
18,Brazilian Grand Prix 2006,kubica,Robert Kubica,9,0.0,6.0
16,Chinese Grand Prix 2006,doornbos,Robert Doornbos,12,0.0,0.0
17,Japanese Grand Prix 2006,doornbos,Robert Doornbos,13,0.0,0.0
18,Brazilian Grand Prix 2006,doornbos,Robert Doornbos,12,0.0,0.0
